,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
165,Sun Jan 07 03:18:41 +0000 2018,CBS,0.63,0.37,0.0,Nathan Anders,-0.6249,66
166,Sun Jan 07 03:18:40 +0000 2018,CBS,0.0,1.0,0.0,Laura Ingraham,0.0,67
167,Sun Jan 07 03:18:39 +0000 2018,CBS,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,68
168,Sun Jan 07 03:18:30 +0000 2018,CBS,0.508,0.416,0.076,Veteran Resists 2018💥,-0.9389,69
169,Sun Jan 07 03:18:28 +0000 2018,CBS,0.0,0.805,0.195,Founders Brewing Co.,0.1779,70
170,Sun Jan 07 03:18:09 +0000 2018,CBS,0.0,1.0,0.0,W A R R I O R,0.0,71
171,Sun Jan 07 03:18:09 +0000 2018,CBS,0.0,1.0,0.0,Mr_Pinko🇺🇲Videos🇺🇲#MAGA🇺🇲#Trump2020🇺🇲GAB,0.0,72
172,Sun Jan 07 03:18:04 +0000 2018,CBS,0.642,0.358,0.0,"Ryan Knight, PROUD RESISTER 👊",-0.9826,73
173,Sun Jan 07 03:17:51 +0000 2018,CBS,0.214,0.587,0.199,Doug Jones,-0.126,74
174,Sun Jan 07 03:17:40 +0000 2018,CBS,0.0,0.877,0.123,CBS,0.2732,75
175,Sun Jan 07 03:17:40 +0000 2018,CBS,0.143,0.857,0.0,Celeb Big Brother,-0.3252,76
176,Sun Jan 07 03:17:32 +0000 2018,CBS,0.0,1.0,0.0,RetroNewsNow,0.0,77
177,Sun Jan 07 03:17:30 +0000 2018,CBS,0.0,0.664,0.336,Jazz Shaw,0.7964,78
178,Sun Jan 07 03:17:27 +0000 2018,CBS,0.147,0.566,0.287,The Good Wife,0.4504,79
179,Sun Jan 07 03:17:26 +0000 2018,CBS,0.0,0.888,0.112,48 Hours,0.34,80
180,Sun Jan 07 03:17:23 +0000 2018,CBS,0.0,0.741,0.259,Fanucci,0.4215,81
181,Sun Jan 07 03:17:20 +0000 2018,CBS,0.0,1.0,0.0,Italiandreamer73,0.0,82
182,Sun Jan 07 03:17:07 +0000 2018,CBS,0.162,0.838,0.0,Eddie DiFruscia,-0.4767,83
183,Sun Jan 07 03:17:04 +0000 2018,CBS,0.0,1.0,0.0,CNN,0.0,84
184,Sun Jan 07 03:17:03 +0000 2018,CBS,0.095,0.833,0.071,RG,-0.1546,85
185,Sun Jan 07 03:16:39 +0000 2018,CBS,0.0,0.893,0.107,ABC News,0.34,86
186,Sun Jan 07 03:16:17 +0000 2018,CBS,0.146,0.854,0.0,SURVIVOR,-0.6249,87
187,Sun Jan 07 03:16:13 +0000 2018,CBS,0.0,1.0,0.0,I Live For Football,0.0,88
188,Sun Jan 07 03:16:06 +0000 2018,CBS,0.095,0.833,0.071,RG,-0.1546,89
189,Sun Jan 07 03:16:02 +0000 2018,CBS,0.432,0.568,0.0,Jake Tapper,-0.9171,90
190,Sun Jan 07 03:15:48 +0000 2018,CBS,0.082,0.749,0.168,Jordan Foote,0.5093,91
191,Sun Jan 07 03:15:42 +0000 2018,CBS,0.0,0.939,0.061,Mandy,0.0772,92
192,Sun Jan 07 03:15:31 +0000 2018,CBS,0.0,0.936,0.064,🎀 Miracles Happen🎀,0.0772,93
193,Sun Jan 07 03:15:28 +0000 2018,CBS,0.0,1.0,0.0,비상 🌱,0.0,94
194,Sun Jan 07 03:15:19 +0000 2018,CBS,0.0,1.0,0.0,Southern Insider,0.0,95
195,Sun Jan 07 03:15:14 +0000 2018,CBS,0.118,0.882,0.0,Blue Bloods on CBS!,-0.1531,96
196,Sun Jan 07 03:15:09 +0000 2018,CBS,0.165,0.647,0.188,Kyle Griffin,0.2023,97
197,Sun Jan 07 03:15:02 +0000 2018,CBS,0.0,0.53,0.47,Darnell Kirkwood,0.7964,98
198,Sun Jan 07 03:15:01 +0000 2018,CBS,0.082,0.818,0.1,S.W.A.T.,0.128,99
199,Sun Jan 07 03:15:00 +0000 2018,CBS,0.095,0.905,0.0,Kyle Griffin,-0.296,100
200,Sun Jan 07 03:18:50 +0000 2018,CNN,0.0,1.0,0.0,🍓 こ  の  🍓,0.0,1
201,Sun Jan 07 03:18:50 +0000 2018,CNN,0.0,0.89,0.11,I #Resist fake newz,0.2732,2
202,Sun Jan 07 03:18:50 +0000 2018,CNN,0.0,0.746,0.254,Jonathan Swan,0.7783,3
203,Sun Jan 07 03:18:49 +0000 2018,CNN,0.264,0.736,0.0,CNN Politics,-0.7269,4
204,Sun Jan 07 03:18:49 +0000 2018,CNN,0.0,1.0,0.0,Brian Stelter,0.0,5
205,Sun Jan 07 03:18:48 +0000 2018,CNN,0.0,0.8,0.2,CNN,0.3612,6
